arch,version,run,source,status,info_ratio,ann_vol,mdd,sortino,var99,calmar,cagr,ulcer,es99,sharpe,ann_return,mdd_duration,es95,hit_rate,var95
condnn,fast1000,condnn_base_20250820_085234,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_bo_20250820_000626,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_bo_20250820_002259,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_bo_20250820_004726,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,fast1000,condnn_bo_20250820_005737,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_base_20250819_192356,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_base_20250820_000626,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_base_20250820_002327,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_base_20250820_004756,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_base_20250820_005802,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_bo_20250820_000627,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_bo_20250820_002257,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_bo_20250820_004858,(none),skipped_no_wealth,,,,,,,,,,,,,,,
condnn,super300,condnn_bo_20250820_005816,(none),skipped_no_wealth,,,,,,,,,,,,,,,
